rupel;13.1.35.220;13.41.29;
rupel;13.1.35.220;13.41.33;
rupel;13.1.35.220;13.41.47;
rupel;13.1.35.220;13.41.40;
rupel;13.1.35.220;13.41.35;
ndkempen;13.3.37.220;13.3.37;
ndkempen;13.3.37.220;13.3.40;
ndkempen;13.3.37.220;13.43.51;
ndkempen;13.3.37.220;13.43.37;
potvaux;13.41.20.220;;
minos;13.41.45.220;13.41.26;
minos;13.41.45.220;13.41.27;
minos;13.41.45.220;13.41.54;
minos;13.41.45.220;13.41.53;
minos;13.41.45.220;13.41.45;
ranstpol;13.41.46.220;13.1.46;
ranstpol;13.41.46.220;13.1.50;
ranstpol;13.41.46.220;13.41.46;
zwijndrc;13.41.51.220;13.1.51;
zwijndrc;13.41.51.220;13.41.51;
schopol;13.41.52.220;13.41.52;
vrkempen;13.41.58.220;13.1.37;
vrkempen;13.41.58.220;13.1.44;
vrkempen;13.41.58.220;13.41.63;
vrkempen;13.41.58.220;13.41.62;
vrkempen;13.41.58.220;13.41.61;
vrkempen;13.41.58.220;13.41.60;
vrkempen;13.41.58.220;13.41.58;
vrkempen;13.41.58.220;13.41.48;
vrkempen;13.41.58.220;13.41.44;
vrkempen;13.41.58.220;13.41.37;
vrkempen;13.41.58.220;13.1.48;
mechelen;13.42.1.220;13.2.1;
mechelen;13.42.1.220;13.42.2;
nt4srv;10.40.1.124;;
bornpol;13.42.32.220;13.2.32;
bornpol;13.42.32.220;13.42.31;
bornpol;13.42.32.220;13.42.39;
bornpol;13.42.32.220;13.42.32;
heistpol;13.42.33.220;13.2.33;
bodukap;13.42.35.220;13.2.36;
bodukap;13.42.35.220;13.42.26;
bodukap;13.42.35.220;13.42.36;
bodukap;13.42.35.220;13.42.28;
willepol;13.42.37.220;13.2.37;
willepol;13.42.37.220;13.42.37;
turnpol;13.43.1.220;13.3.33;
turnpol;13.43.1.220;13.43.1;
turnpol;13.43.1.220;13.43.46;
turnpol;13.43.1.220;13.43.44;
turnpol;13.43.1.220;13.43.38;
turnpol;13.43.1.220;13.43.30;
turnpol;13.43.1.220;13.43.27;
turnpol;13.43.1.220;13.43.7;
turnpol;13.43.1.220;13.43.6;
arendonk;13.43.31.220;13.3.42;
arendonk;13.43.31.220;13.43.31;
arendonk;13.43.31.220;13.43.47;
arendonk;13.43.31.220;13.43.42;
geelpol;13.43.34.220;13.3.39;
geelpol;13.43.34.220;13.43.34;
geelpol;13.43.34.220;13.43.52;
pasoa;10.5.1.230;;
herenpol;13.43.36.220;13.3.44;
herenpol;13.43.36.220;13.43.26;
herenpol;13.43.36.220;13.43.43;
herenpol;13.43.36.220;13.43.36;
herenpol;13.43.36.220;13.43.29;
molpol;13.43.41.220;13.3.41;
molpol;13.43.41.220;13.43.28;
molpol;13.43.41.220;13.43.41;
molpol;13.43.41.220;13.43.32;
hazodi;14.41.1.220;14.41.1;
hazodi;14.41.1.220;14.41.10;
hazodi;14.41.1.220;14.41.35;
hazodi;14.41.1.220;14.41.32;
hazodi;14.41.1.220;14.41.30;
hazodi;14.41.1.220;14.41.13;
hazodi;14.41.1.220;14.41.12;
